Field,Job Title,All
"Agriculture, Agriculture Operations, and Related Sciences",Professor,109098
"Agriculture, Agriculture Operations, and Related Sciences",Associate Professor,85598
"Agriculture, Agriculture Operations, and Related Sciences",Assistant Professor,74582
Natural Resources and Conservation,Professor,103351
Natural Resources and Conservation,Associate Professor,83718
Natural Resources and Conservation,Assistant Professor,73558
Architecture and Related Services,Professor,113691
Architecture and Related Services,Associate Professor,87564
Architecture and Related Services,Assistant Professor,72081
"Area, Ethnic, Cultural, Gender and Group Studies",Professor,112582
"Area, Ethnic, Cultural, Gender and Group Studies",Associate Professor,85115
"Area, Ethnic, Cultural, Gender and Group Studies",Assistant Professor,70515
"Communication, Journalism and Related Programs",Professor,93698
"Communication, Journalism and Related Programs",Associate Professor,75478
"Communication, Journalism and Related Programs",Assistant Professor,63423
Computer and Information Sciences and Support Services,Professor,125499
Computer and Information Sciences and Support Services,Associate Professor,103588
Computer and Information Sciences and Support Services,Assistant Professor,90878
Education,Professor,91435
Education,Associate Professor,75279
Education,Assistant Professor,63500
Engineering,Professor,138891
Engineering,Associate Professor,104236
Engineering,Assistant Professor,90215
Engineering Technologies and Engineering Related Fields,Professor,94230
Engineering Technologies and Engineering Related Fields,Associate Professor,80795
Engineering Technologies and Engineering Related Fields,Assistant Professor,72000
"Foreign Languages, Literatures, and Linguistics",Professor,93483
"Foreign Languages, Literatures, and Linguistics",Associate Professor,74472
"Foreign Languages, Literatures, and Linguistics",Assistant Professor,61774
Family and Consumer Sciences/Human Sciences,Professor,100909
Family and Consumer Sciences/Human Sciences,Associate Professor,82058
Family and Consumer Sciences/Human Sciences,Assistant Professor,68082
Legal Professions and Studies,Professor,165948
Legal Professions and Studies,Associate Professor,126246
Legal Professions and Studies,Assistant Professor,101303
English Language and Literature/Letters,Professor,88560
English Language and Literature/Letters,Associate Professor,71498
English Language and Literature/Letters,Assistant Professor,60914
English Language and Literature/Letters,Professor,89604
English Language and Literature/Letters,Associate Professor,75434
English Language and Literature/Letters,Assistant Professor,63000
Library Science,Professor,84273
Library Science,Associate Professor,71816
Library Science,Assistant Professor,59078
Biological and Biomedical Sciences,Professor,106554
Biological and Biomedical Sciences,Associate Professor,82733
Biological and Biomedical Sciences,Assistant Professor,71138
Mathematics and Statistics,Professor,96996
Mathematics and Statistics,Associate Professor,76266
Mathematics and Statistics,Assistant Professor,67108
Multi/Interdisciplinary Studies,Professor,108168
Multi/Interdisciplinary Studies,Associate Professor,82964
Multi/Interdisciplinary Studies,Assistant Professor,70596
"Parks, Recreation, Leisure and Fitness Studies",Professor,91045
"Parks, Recreation, Leisure and Fitness Studies",Associate Professor,74349
"Parks, Recreation, Leisure and Fitness Studies",Assistant Professor,62519
Philosophy and Religious Studies,Professor,96351
Philosophy and Religious Studies,Associate Professor,74495
Philosophy and Religious Studies,Assistant Professor,62823
Physical Sciences,Professor,106718
Physical Sciences,Associate Professor,80133
Physical Sciences,Assistant Professor,70000
Psychology,Professor,99268
Psychology,Associate Professor,78314
Psychology,Assistant Professor,65213
"Homeland Security, Law Enforcement, Firefighting and Related Protective Service",Professor,92941
"Homeland Security, Law Enforcement, Firefighting and Related Protective Service",Associate Professor,75777
"Homeland Security, Law Enforcement, Firefighting and Related Protective Service",Assistant Professor,63980
Public Administration and Social Service Professions,Professor,106024
Public Administration and Social Service Professions,Associate Professor,81145
Public Administration and Social Service Professions,Assistant Professor,68289
Social Sciences,Professor,103872
Social Sciences,Associate Professor,79924
Social Sciences,Assistant Professor,67500
Visual and Performing Arts,Professor,87329
Visual and Performing Arts,Associate Professor,71174
Visual and Performing Arts,Assistant Professor,59459
Health Professions and Related Programs,Professor,124336
Health Professions and Related Programs,Associate Professor,90000
Health Professions and Related Programs,Assistant Professor,75131
"Business, Management, Marketing, and Related Support Services",Professor,139060
"Business, Management, Marketing, and Related Support Services",Associate Professor,122379
"Business, Management, Marketing, and Related Support Services",Assistant Professor,118717
History General,Professor,90866
History General,Associate Professor,72963
History General,Assistant Professor,61218
